,icao24,callsign,time_s,origin_apt,destination_apt,typecode
222195,485207,KLM1721,2019-09-01 04:50:59.500000+00:00,AMS,BRU,E190
221997,485206,KLM1992,2019-09-01 04:50:59.500000+00:00,KTW,AMS,E190
285058,485875,KLM47B,2019-09-01 05:21:51.500000+00:00,AMS,ZRH,E190
309934,4cafe1,KLM45C,2019-09-01 05:30:59.500000+00:00,AMS,MUC,E190
222196,485207,KLM1721,2019-09-01 06:10:59.500000+00:00,BRU,AMS,E190
222607,485871,KLM24H,2019-09-01 07:20:59.500000+00:00,AMS,BRU,E190
285059,485875,KLM47B,2019-09-01 07:20:59.500000+00:00,ZRH,AMS,E190
309935,4cafe1,KLM45C,2019-09-01 07:50:59.500000+00:00,MUC,AMS,E190
222197,485207,KLM1721,2019-09-01 08:10:59.500000+00:00,AMS,FLR,E190
221998,485206,KLM1992,2019-09-01 08:10:59.500000+00:00,AMS,SVG,E190
222608,485871,KLM24H,2019-09-01 08:40:59.500000+00:00,BRU,AMS,E190
221999,485206,KLM1992,2019-09-01 10:01:01+00:00,SVG,AMS,E190
309936,4cafe1,KLM45C,2019-09-01 10:10:59.500000+00:00,AMS,DUB,E190
222609,485871,KLM24H,2019-09-01 10:20:59.500000+00:00,AMS,BGO,E190
222198,485207,KLM1721,2019-09-01 10:50:59.500000+00:00,FLR,AMS,E190
285060,485875,KLM47B,2019-09-01 10:51:19.500000+00:00,AMS,BOD,E190
222610,485871,KLM24H,2019-09-01 12:20:59.500000+00:00,BGO,AMS,E190
222000,485206,KLM1992,2019-09-01 12:30:59.500000+00:00,AMS,ALL,E190
309937,4cafe1,KLM45C,2019-09-01 13:01:00+00:00,DUB,AMS,E190
285061,485875,KLM47B,2019-09-01 13:01:55.500000+00:00,BOD,AMS,E190
222199,485207,KLM1721,2019-09-01 14:10:59.500000+00:00,AMS,TXL,E190
309938,4cafe1,KLM45C,2019-09-01 15:10:59.500000+00:00,AMS,OSL,E190
222001,485206,KLM1992,2019-09-01 15:30:59.500000+00:00,ALL,AMS,E190
222611,485871,KLM24H,2019-09-01 15:30:59.500000+00:00,AMS,LCY,E190
285062,485875,KLM47B,2019-09-01 15:30:59.500000+00:00,AMS,LHR,E190
222200,485207,KLM1721,2019-09-01 17:01:00+00:00,TXL,AMS,E190
222612,485871,KLM24H,2019-09-01 17:30:59.500000+00:00,LCY,AMS,E190
309939,4cafe1,KLM45C,2019-09-01 17:40:59.500000+00:00,OSL,AMS,E190
222002,485206,KLM1992,2019-09-01 17:50:59.500000+00:00,AMS,CPH,E190
285063,485875,KLM47B,2019-09-01 18:10:59.500000+00:00,LHR,AMS,E190
222201,485207,KLM1721,2019-09-01 18:51:00+00:00,AMS,BSL,E190
222613,485871,KLM24H,2019-09-01 19:20:59.500000+00:00,AMS,GVA,E190
222003,485206,KLM1992,2019-09-01 19:40:59.500000+00:00,CPH,AMS,E190
285064,485875,KLM47B,2019-09-01 19:40:59.500000+00:00,AMS,SKE,E190
135641,48548d,KLM80Z,2019-09-01 04:01:33+00:00,NUE,AMS,E75L
168077,4852f5,KLM36L,2019-09-01 04:20:59.500000+00:00,LUX,AMS,E75L
168603,485779,KLM84X,2019-09-01 04:20:59.500000+00:00,BSL,AMS,E75L
242224,4855d0,KLM81V,2019-09-01 05:01:14+00:00,AMS,HAM,E75L
135642,48548d,KLM80Z,2019-09-01 06:01:00.500000+00:00,AMS,GOT,E75L
222397,485778,KLM34Z,2019-09-01 06:30:59.500000+00:00,AMS,SVG,E75L
168078,4852f5,KLM36L,2019-09-01 06:30:59.500000+00:00,AMS,FRA,E75L
186620,485873,KLM62N,2019-09-01 06:30:59.500000+00:00,AMS,NUE,E75L
168811,485870,KLM82G,2019-09-01 06:30:59.500000+00:00,AMS,AAL,E75L
242225,4855d0,KLM81V,2019-09-01 06:40:59.500000+00:00,HAM,AMS,E75L
168604,485779,KLM84X,2019-09-01 06:40:59.500000+00:00,AMS,BLL,E75L
304072,4853f4,KLM46Q,2019-09-01 07:01:01.500000+00:00,AMS,BRE,E75L
186426,48548e,KLM20R,2019-09-01 07:10:59.500000+00:00,AMS,LUX,E75L
168401,4855d2,KLM1178,2019-09-01 07:30:59.500000+00:00,AMS,HUY,E75L
284853,485814,KLM67K,2019-09-01 07:30:59.500000+00:00,AMS,KRK,E75L
169025,485876,KLM26M,2019-09-01 07:40:59.500000+00:00,AMS,STR,E75L
203152,4852f4,KLM42F,2019-09-01 07:40:59.500000+00:00,AMS,MME,E75L
168079,4852f5,KLM36L,2019-09-01 07:50:34+00:00,FRA,AMS,E75L
135643,48548d,KLM80Z,2019-09-01 07:50:59.500000+00:00,GOT,AMS,E75L
168812,485870,KLM82G,2019-09-01 08:10:59.500000+00:00,AAL,AMS,E75L
168605,485779,KLM84X,2019-09-01 08:10:59.500000+00:00,BLL,AMS,E75L
222398,485778,KLM34Z,2019-09-01 08:20:59.500000+00:00,SVG,AMS,E75L
304073,4853f4,KLM46Q,2019-09-01 08:20:59.500000+00:00,BRE,AMS,E75L
186621,485873,KLM62N,2019-09-01 08:20:59.500000+00:00,NUE,AMS,E75L
284636,4855d1,KLM1610,2019-09-01 08:30:59.500000+00:00,AMS,HAM,E75L
186427,48548e,KLM20R,2019-09-01 08:30:59.500000+00:00,LUX,AMS,E75L
242226,4855d0,KLM81V,2019-09-01 09:01:00+00:00,AMS,BLQ,E75L
168402,4855d2,KLM1178,2019-09-01 09:10:59.500000+00:00,HUY,AMS,E75L
340545,4852f6,KLM922,2019-09-01 09:10:59.500000+00:00,AMS,NTE,E75L
169026,485876,KLM26M,2019-09-01 09:20:59.500000+00:00,STR,AMS,E75L
203153,4852f4,KLM42F,2019-09-01 09:30:59.500000+00:00,MME,AMS,E75L
284854,485814,KLM67K,2019-09-01 10:01:00+00:00,KRK,AMS,E75L
284637,4855d1,KLM1610,2019-09-01 10:10:59.500000+00:00,HAM,AMS,E75L
304074,4853f4,KLM46Q,2019-09-01 10:10:59.500000+00:00,AMS,GOA,E75L
186622,485873,KLM62N,2019-09-01 10:10:59.500000+00:00,AMS,WRO,E75L
168606,485779,KLM84X,2019-09-01 10:10:59.500000+00:00,AMS,VXO,E75L
135644,48548d,KLM80Z,2019-09-01 10:20:59.500000+00:00,AMS,SVG,E75L
168813,485870,KLM82G,2019-09-01 10:20:59.500000+00:00,AMS,ZRH,E75L
186428,48548e,KLM20R,2019-09-01 10:30:59.500000+00:00,AMS,GVA,E75L
168080,4852f5,KLM36L,2019-09-01 10:30:59.500000+00:00,AMS,GOT,E75L
222399,485778,KLM34Z,2019-09-01 10:50:59.500000+00:00,AMS,STR,E75L
168403,4855d2,KLM1178,2019-09-01 10:51:14.500000+00:00,AMS,BSL,E75L
203154,4852f4,KLM42F,2019-09-01 11:11:03+00:00,AMS,HAM,E75L
340546,4852f6,KLM922,2019-09-01 11:20:59.500000+00:00,NTE,AMS,E75L
242227,4855d0,KLM81V,2019-09-01 11:40:59.500000+00:00,BLQ,AMS,E75L
284638,4855d1,KLM1610,2019-09-01 12:01:00+00:00,AMS,BRU,E75L
135645,48548d,KLM80Z,2019-09-01 12:10:59.500000+00:00,SVG,AMS,E75L
168814,485870,KLM82G,2019-09-01 12:10:59.500000+00:00,ZRH,AMS,E75L
168607,485779,KLM84X,2019-09-01 12:10:59.500000+00:00,VXO,AMS,E75L
169027,485876,KLM26M,2019-09-01 12:30:59.500000+00:00,AMS,FDE,E75L
222400,485778,KLM34Z,2019-09-01 12:30:59.500000+00:00,STR,AMS,E75L
168081,4852f5,KLM36L,2019-09-01 12:30:59.500000+00:00,GOT,AMS,E75L
304075,4853f4,KLM46Q,2019-09-01 12:30:59.500000+00:00,GOA,AMS,E75L
186623,485873,KLM62N,2019-09-01 12:30:59.500000+00:00,WRO,AMS,E75L
596770,485874,KLM71R,2019-09-01 12:30:59.500000+00:00,AMS,TRD,E75L
284855,485814,KLM67K,2019-09-01 12:40:59.500000+00:00,AMS,TRF,E75L
168404,4855d2,KLM1178,2019-09-01 12:50:59.500000+00:00,BSL,AMS,E75L
186429,48548e,KLM20R,2019-09-01 12:50:59.500000+00:00,GVA,AMS,E75L
587673,48548c,KLM1051,2019-09-01 13:01:00+00:00,BRS,AMS,E75L
284639,4855d1,KLM1610,2019-09-01 13:10:59.500000+00:00,BRU,AMS,E75L
203155,4852f4,KLM42F,2019-09-01 13:10:59.500000+00:00,HAM,AMS,E75L
135646,48548d,KLM80Z,2019-09-01 14:40:59.500000+00:00,AMS,NUE,E75L
168405,4855d2,KLM1178,2019-09-01 14:50:59.500000+00:00,AMS,GOT,E75L
222401,485778,KLM34Z,2019-09-01 14:50:59.500000+00:00,AMS,FRA,E75L
186624,485873,KLM62N,2019-09-01 14:50:59.500000+00:00,AMS,GDN,E75L
168608,485779,KLM84X,2019-09-01 14:50:59.500000+00:00,AMS,CWL,E75L
203156,4852f4,KLM42F,2019-09-01 15:01:00+00:00,AMS,HAJ,E75L
284856,485814,KLM67K,2019-09-01 15:01:00+00:00,TRF,AMS,E75L
596771,485874,KLM71R,2019-09-01 15:01:00+00:00,TRD,AMS,E75L
186430,48548e,KLM20R,2019-09-01 15:01:06.500000+00:00,AMS,HUY,E75L
340547,4852f6,KLM922,2019-09-01 15:01:37+00:00,AMS,DUS,E75L
169028,485876,KLM26M,2019-09-01 15:10:59.500000+00:00,FDE,AMS,E75L
168815,485870,KLM82G,2019-09-01 15:10:59.500000+00:00,AMS,BSL,E75L
304076,4853f4,KLM46Q,2019-09-01 15:11:42+00:00,AMS,NWI,E75L
284640,4855d1,KLM1610,2019-09-01 15:21:15+00:00,AMS,NCE,E75L
587674,48548c,KLM1051,2019-09-01 15:40:59.500000+00:00,AMS,ZRH,E75L
242228,4855d0,KLM81V,2019-09-01 15:40:59.500000+00:00,AMS,BRU,E75L
168082,4852f5,KLM36L,2019-09-01 16:20:59.500000+00:00,AMS,BRE,E75L
135647,48548d,KLM80Z,2019-09-01 16:20:59.500000+00:00,NUE,AMS,E75L
186431,48548e,KLM20R,2019-09-01 16:30:59.500000+00:00,HUY,AMS,E75L
203157,4852f4,KLM42F,2019-09-01 16:30:59.500000+00:00,HAJ,AMS,E75L
340548,4852f6,KLM922,2019-09-01 16:30:59.500000+00:00,DUS,AMS,E75L
304077,4853f4,KLM46Q,2019-09-01 16:40:59.500000+00:00,NWI,AMS,E75L
168609,485779,KLM84X,2019-09-01 16:40:59.500000+00:00,CWL,AMS,E75L
168816,485870,KLM82G,2019-09-01 16:41:19+00:00,BSL,AMS,E75L
168406,4855d2,KLM1178,2019-09-01 16:50:59.500000+00:00,GOT,AMS,E75L
222402,485778,KLM34Z,2019-09-01 16:50:59.500000+00:00,FRA,AMS,E75L
242229,4855d0,KLM81V,2019-09-01 16:50:59.500000+00:00,BRU,AMS,E75L
186625,485873,KLM62N,2019-09-01 17:01:00+00:00,GDN,AMS,E75L
587675,48548c,KLM1051,2019-09-01 17:30:59.500000+00:00,ZRH,AMS,E75L
284857,485814,KLM67K,2019-09-01 17:30:59.500000+00:00,AMS,BER,E75L
168083,4852f5,KLM36L,2019-09-01 17:40:59.500000+00:00,BRE,AMS,E75L
284641,4855d1,KLM1610,2019-09-01 18:10:59.500000+00:00,NCE,AMS,E75L
222403,485778,KLM34Z,2019-09-01 18:40:59.500000+00:00,AMS,TRN,E75L
596772,485874,KLM71R,2019-09-01 18:40:59.500000+00:00,AMS,HAJ,E75L
203158,4852f4,KLM42F,2019-09-01 18:50:59.500000+00:00,AMS,BRE,E75L
304078,4853f4,KLM46Q,2019-09-01 18:51:12.500000+00:00,AMS,TRD,E75L
168817,485870,KLM82G,2019-09-01 19:01:53+00:00,AMS,GDN,E75L
