iata,icao,name,lat,lon,alt,continent,iso_country
AAH,EDKA,Aachen-Merzbrück Airport,50.823055,6.186389,623,EU,DE
AAL,EKYT,Aalborg Airport,57.09275891,9.849243164,10,EU,DK
AAQ,URKA,Anapa Vityazevo Airport,45.0021019,37.34730148,174,EU,RU
AAR,EKAH,Aarhus Airport,56.29999924,10.61900043,82,EU,DK
ABC,LEAB,Albacete-Los Llanos Airport,38.94850159,-1.863520026,2302,EU,ES
ABZ,EGPD,Aberdeen Dyce Airport,57.20190048,-2.197779894,215,EU,GB
ACE,GCRR,Lanzarote Airport,28.945499,-13.6052,46,EU,ES
ACH,LSZR,St Gallen Altenrhein Airport,47.48500061,9.560770035,1306,EU,CH
ACI,EGJA,Alderney Airport,49.706104,-2.21472,290,EU,GG
ACO,LSZD,Ascona Airport,46.15779877,8.78194046,655,EU,CH
ADX,EGQL,RAF Leuchars,56.3728981,-2.868439913,38,EU,GB
AEI,AEI,Algeciras Heliport,36.12888,-5.441118,98,EU,ES
AEM,UHTG,Amgu Airport,45.84126,137.673568,10,EU,RU
AER,URSS,Sochi International Airport,43.449902,39.9566,89,EU,RU
AES,ENAL,Ålesund Airport,62.5625,6.119699955,69,EU,NO
AEY,BIAR,Akureyri Airport,65.66000366,-18.0727005,6,EU,IS
AGB,EDMA,Augsburg Airport,48.425278,10.931667,1516,EU,DE
AGE,EDWG,Wangerooge Airport,53.78277969,7.913888931,7,EU,DE
AGF,LFBA,Agen-La Garenne Airport,44.17470169,0.590556026,204,EU,FR
AGH,ESTA,Ängelholm-Helsingborg Airport,56.29610062,12.84710026,68,EU,SE
AGP,LEMG,Málaga Airport,36.67490005,-4.499110222,53,EU,ES
AGQ,LGAG,Agrinion Air Base,38.602001,21.3512001,154,EU,GR
AHO,LIEA,Alghero-Fertilia Airport,40.632099,8.29077,87,EU,IT
AHZ,LFHU,Altiport L'Alpe d'Huez - Henri GIRAUD,45.088299,6.08472,6102,EU,FR
AJA,LFKJ,Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,18,EU,FR
AJR,ESNX,Arvidsjaur Airport,65.59030151,19.28190041,1245,EU,SE
AKT,LCRA,RAF Akrotiri,34.590401,32.9879,76,EU,GB
ALC,LEAL,Alicante International Airport,38.28219986,-0.558156013,142,EU,ES
ALF,ENAT,Alta Airport,69.97609711,23.37170029,9,EU,NO
ALL,LIMG,Villanova D'Albenga International Airport,44.050598,8.12743,148,EU,IT
ALV,AD-ALV,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511174,1.533551,3450,EU,AD
AMS,EHAM,Amsterdam Airport Schiphol,52.308601,4.76389,-11,EU,NL
ANE,LFJR,Angers-Loire Airport,47.560299,-0.312222,194,EU,FR
ANG,LFBU,Angoulême-Brie-Champniers Airport,45.72919846,0.221456006,436,EU,FR
ANR,EBAW,Antwerp International Airport (Deurne),51.1894,4.46028,39,EU,BE
ANX,ENAN,Andøya Airport,69.29250336,16.14419937,43,EU,NO
AOC,EDAC,Altenburg-Nobitz Airport,50.981945,12.506389,640,EU,DE
AOI,LIPY,Ancona Falconara Airport,43.616299,13.3623,49,EU,IT
AOK,LGKP,Karpathos Airport,35.42139816,27.14599991,66,EU,GR
AOT,LIMW,Aosta Airport,45.738499,7.36872,1791,EU,IT
ARH,ULAA,Talagi Airport,64.60030365,40.71670151,62,EU,RU
ARN,ESSA,Stockholm-Arlanda Airport,59.65190125,17.91860008,137,EU,SE
ARW,LRAR,Arad International Airport,46.17660141,21.26199913,352,EU,RO
ASF,URWA,Astrakhan Airport,46.28329849,48.00630188,-65,EU,RU
ATH,LGAV,Eleftherios Venizelos International Airport,37.93640137,23.94449997,308,EU,GR
AUF,LFLA,Auxerre-Branches Airport,47.85020065,3.49710989,523,EU,FR
AUR,LFLW,Aurillac Airport,44.89139938,2.421940088,2096,EU,FR
AVB,LIPA,Aviano Air Base,46.031898,12.596503,410,EU,IT
AVN,LFMV,Avignon-Caumont Airport,43.90729904,4.901830196,124,EU,FR
AVR,LPAR,Alverca Air Base,38.883301,-9.0301,11,EU,PT
AXD,LGAL,Dimokritos Airport,40.85589981,25.95630074,24,EU,GR
AYH,EGWZ,RAF Alconbury,52.37440109,-0.219722003,157,EU,GB
BAE,LFMR,Barcelonnette - Saint-Pons Airport,44.387198,6.609186,3714,EU,FR
BAY,LRBM,Maramureș International Airport,47.660598,23.467252,605,EU,RO
BBH,EDBH,Barth Airport,54.338253,12.710515,23,EU,DE
BBJ,EDRB,Bitburg Airport,49.945278,6.565,1220,EU,DE
BBP,EGHJ,Bembridge Airport,50.67810059,-1.109439969,53,EU,GB
BBS,EGLK,Blackbushe Airport,51.32389832,-0.847500026,325,EU,GB
BBU,LRBS,Băneasa International Airport,44.50320053,26.10210037,297,EU,RO
BCM,LRBC,Bacău Airport,46.52190018,26.9102993,607,EU,RO
BCN,LEBL,Barcelona International Airport,41.2971,2.07846,12,EU,ES
BCX,UWUB,Beloretsk Airport,53.93809891,58.34000015,1827,EU,RU
