iata,icao,name,lat,lon,iso_country
AAH,EDKA,Aachen-Merzbrück Airport,50.823055,6.186389,DE
AAL,EKYT,Aalborg Airport,57.09275891,9.849243164,DK
AAQ,URKA,Anapa Vityazevo Airport,45.0021019,37.34730148,RU
AAR,EKAH,Aarhus Airport,56.29999924,10.61900043,DK
ABC,LEAB,Albacete-Los Llanos Airport,38.94850159,-1.863520026,ES
ABZ,EGPD,Aberdeen Dyce Airport,57.20190048,-2.197779894,GB
ACE,GCRR,Lanzarote Airport,28.945499,-13.6052,ES
ACH,LSZR,St Gallen Altenrhein Airport,47.48500061,9.560770035,CH
ACI,EGJA,Alderney Airport,49.706104,-2.21472,GG
ACO,LSZD,Ascona Airport,46.15779877,8.78194046,CH
ADX,EGQL,RAF Leuchars,56.3728981,-2.868439913,GB
AEI,AEI,Algeciras Heliport,36.12888,-5.441118,ES
AEM,UHTG,Amgu Airport,45.84126,137.673568,RU
AER,URSS,Sochi International Airport,43.449902,39.9566,RU
AES,ENAL,Ålesund Airport,62.5625,6.119699955,NO
AEY,BIAR,Akureyri Airport,65.66000366,-18.0727005,IS
AGB,EDMA,Augsburg Airport,48.425278,10.931667,DE
AGE,EDWG,Wangerooge Airport,53.78277969,7.913888931,DE
AGF,LFBA,Agen-La Garenne Airport,44.17470169,0.590556026,FR
AGH,ESTA,Ängelholm-Helsingborg Airport,56.29610062,12.84710026,SE
AGP,LEMG,Málaga Airport,36.67490005,-4.499110222,ES
AGQ,LGAG,Agrinion Air Base,38.602001,21.3512001,GR
AHO,LIEA,Alghero-Fertilia Airport,40.632099,8.29077,IT
AHZ,LFHU,Altiport L'Alpe d'Huez - Henri GIRAUD,45.088299,6.08472,FR
AJA,LFKJ,Ajaccio-Napoléon Bonaparte Airport,41.92359924,8.802920341,FR
AJR,ESNX,Arvidsjaur Airport,65.59030151,19.28190041,SE
AKT,LCRA,RAF Akrotiri,34.590401,32.9879,GB
ALC,LEAL,Alicante International Airport,38.28219986,-0.558156013,ES
ALF,ENAT,Alta Airport,69.97609711,23.37170029,NO
ALL,LIMG,Villanova D'Albenga International Airport,44.050598,8.12743,IT
ALV,AD-ALV,Andorra la Vella (Our Lady of Meritxell Hospital) Heliport,42.511174,1.533551,AD
AMS,EHAM,Amsterdam Airport Schiphol,52.308601,4.76389,NL
ANE,LFJR,Angers-Loire Airport,47.560299,-0.312222,FR
ANG,LFBU,Angoulême-Brie-Champniers Airport,45.72919846,0.221456006,FR
ANR,EBAW,Antwerp International Airport (Deurne),51.1894,4.46028,BE
ANX,ENAN,Andøya Airport,69.29250336,16.14419937,NO
AOC,EDAC,Altenburg-Nobitz Airport,50.981945,12.506389,DE
AOI,LIPY,Ancona Falconara Airport,43.616299,13.3623,IT
AOK,LGKP,Karpathos Airport,35.42139816,27.14599991,GR
AOT,LIMW,Aosta Airport,45.738499,7.36872,IT
ARH,ULAA,Talagi Airport,64.60030365,40.71670151,RU
ARN,ESSA,Stockholm-Arlanda Airport,59.65190125,17.91860008,SE
ARW,LRAR,Arad International Airport,46.17660141,21.26199913,RO
ASF,URWA,Astrakhan Airport,46.28329849,48.00630188,RU
ATH,LGAV,Eleftherios Venizelos International Airport,37.93640137,23.94449997,GR
AUF,LFLA,Auxerre-Branches Airport,47.85020065,3.49710989,FR
AUR,LFLW,Aurillac Airport,44.89139938,2.421940088,FR
AVB,LIPA,Aviano Air Base,46.031898,12.596503,IT
AVN,LFMV,Avignon-Caumont Airport,43.90729904,4.901830196,FR
AVR,LPAR,Alverca Air Base,38.883301,-9.0301,PT
AXD,LGAL,Dimokritos Airport,40.85589981,25.95630074,GR
AYH,EGWZ,RAF Alconbury,52.37440109,-0.219722003,GB
BAE,LFMR,Barcelonnette - Saint-Pons Airport,44.387198,6.609186,FR
BAY,LRBM,Maramure? International Airport,47.660598,23.467252,RO
