,x,y
0,984,5709
1,812,4405
2,476,5230
3,1349,5235
4,521,6029
5,915,5574
6,1128,4453
7,-71,4482
8,878,5304
9,-271,5138
10,448,5090
11,752,4759
12,1265,5561
13,-334,5139
14,-627,5342
15,676,5128
16,575,6139
17,1120,4381
18,857,5003
19,1846,5437
20,883,4441
21,1227,5766
22,610,4623
23,968,5246
24,998,5363
25,-35,5357
26,1978,5007
27,1907,5047
28,5,5150
29,-46,5147
30,620,4962
31,-142,5450
32,1178,4835
33,721,4365
34,-161,4715
35,1107,4949
36,128,5267
37,1110,6019
38,956,5918
39,922,4868
40,563,5887
41,1092,6345
42,1025,5918
43,764,4520
44,1328,5255
45,1472,5692
46,1688,5110
47,854,4746
